NCE16AU001,MA201(F), ME200(FE), HS210(F), ME230(C), CE230(C), ME201(FE), AU201(FE), AU203(F)
NCE16AU002,MA201(F), ME200(F), HS210(F), ME230(C), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU003,MA201(F), ME200(F), HS210(B), ME230(B), CE230(B+), ME201(F), AU201(C), AU203(B)
NCE16AU004,MA201(F), ME200(C), HS210(B+), ME230(B+), CE230(C), ME201(F), AU201(F), AU203(F)
NCE16AU005,MA201(F), ME200(F), HS210(F), ME230(B), CE230(P), ME201(F), AU201(F), AU203(F)
NCE16AU006,MA201(FE), ME200(FE), HS210(F), ME230(B), CE230(C), ME201(FE), AU201(F), AU203(F)
NCE16AU008,MA201(F), ME200(F), HS210(F), ME230(B), CE230(B+), ME201(F), AU201(C), AU203(F)
NCE16AU009,MA201(FE), ME200(FE), HS210(F), ME230(P), CE230(P), ME201(F), AU201(FE), AU203(F)
NCE16AU010,MA201(F), ME200(C), HS210(B+), ME230(B), CE230(P), ME201(F), AU201(C), AU203(B+)
NCE16AU011,MA201(F), ME200(F), HS210(F), ME230(B+), CE230(B), ME201(F), AU201(F), AU203(C)
NCE16AU012,HS210(F), ME230(P), CE230(P)
NCE16AU013,MA201(C), ME200(C), HS210(B+), ME230(A+), CE230(A+), ME201(F), AU201(B), AU203(C)
NCE16AU014,MA201(F), ME200(C), HS210(B), ME230(A+), CE230(B+), ME201(F), AU201(F), AU203(F)
NCE16AU015,MA201(F), ME200(P), HS210(B+), ME230(A+), CE230(B+), ME201(F), AU201(F), AU203(F)
NCE16AU016,MA201(F), ME200(F), HS210(F), ME230(B), CE230(B+), ME201(F), AU201(F), AU203(F)
NCE16AU017,MA201(F), ME200(B), HS210(B+), ME230(A), CE230(A+), ME201(C), AU201(B+), AU203(B)
NCE16AU018,MA201(F), ME200(F), HS210(B), ME230(C), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU019,MA201(F), ME200(F), HS210(B+), ME230(B), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU021,MA201(F), ME200(F), HS210(F), ME230(B), CE230(B+), ME201(F), AU201(F), AU203(F)
NCE16AU022,MA201(F), ME200(F), HS210(B), ME230(B), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU023,MA201(F), ME200(F), HS210(F), ME230(C), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU024,MA201(C), ME200(F), HS210(B+), ME230(C), CE230(C), ME201(P), AU201(F), AU203(F)
NCE16AU025,MA201(F), ME200(F), HS210(F), ME230(P), CE230(P), ME201(FE), AU201(F), AU203(F)
NCE16AU026,MA201(F), ME200(FE), HS210(B), ME230(B), CE230(B), ME201(FE), AU201(FE), AU203(FE)
NCE16AU027,MA201(F), ME200(F), HS210(F), ME230(B), CE230(B+), ME201(F), AU201(C), AU203(F)
NCE16AU028,MA201(F), ME200(F), HS210(F), ME230(B), CE230(P), ME201(F), AU201(F), AU203(F)
NCE16AU029,MA201(F), ME200(F), HS210(F), ME230(C), CE230(B), ME201(F), AU201(F), AU203(F)
NCE16AU030,MA201(B), ME200(B), HS210(B), ME230(B), CE230(B), ME201(F), AU201(C), AU203(C)
NCE16AU031,MA201(F), ME200(C), HS210(B), ME230(B), CE230(C), ME201(F), AU201(C), AU203(F)
LNCE16CS123,MA201(C), HS210(A), CS201(B+), CS203(C), CS205(B+), CS207(C), CS231(A+), CS233(B)
NCE16CS001,MA201(F), HS210(F), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B+), CS233(B+)
NCE16CS002,MA201(F), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(A+), CS233(A+)
NCE16CS003,MA201(F), HS210(B+), CS201(F), CS203(C), CS205(F), CS207(F), CS231(A+), CS233(A+)
NCE16CS004,MA201(B), HS210(B+), CS201(B), CS203(C), CS205(B), CS207(B), CS231(O), CS233(A)
NCE16CS005,MA201(B+), HS210(A+), CS201(B+), CS203(B), CS205(B), CS207(B), CS231(A+), CS233(A)
NCE16CS006,MA201(B+), HS210(B+), CS201(B), CS203(B), CS205(B), CS207(B), CS231(O), CS233(A)
NCE16CS007,MA201(F), HS210(F), CS201(F), CS203(C), CS205(F), CS207(F), CS231(O), CS233(A)
NCE16CS008,MA201(B), HS210(B), CS201(B), CS203(C), CS205(B+), CS207(C), CS231(A), CS233(A)
NCE16CS009,MA201(B), HS210(B+), CS201(C), CS203(B), CS205(C), CS207(B), CS231(A+), CS233(A+)
NCE16CS010,MA201(F), HS210(B), CS201(F), CS203(C), CS205(C), CS207(F), CS231(A), CS233(A+)
NCE16CS011,MA201(B+), HS210(B), CS201(B), CS203(C), CS205(C), CS207(B), CS231(O), CS233(A+)
NCE16CS012,MA201(B+), HS210(A+), CS201(B), CS203(B), CS205(C), CS207(B+), CS231(A), CS233(A+)
NCE16CS013,MA201(B+), HS210(B), CS201(B), CS203(B), CS205(B+), CS207(B), CS231(A), CS233(O)
NCE16CS014,MA201(B), HS210(B+), CS201(F), CS203(C), CS205(F), CS207(F), CS231(O), CS233(B+)
NCE16CS015,MA201(B+), HS210(B+), CS201(C), CS203(B), CS205(B), CS207(B+), CS231(A), CS233(A)
NCE16CS017,MA201(F), HS210(B+), CS201(F), CS203(F), CS205(F), CS207(F), CS231(O), CS233(A)
NCE16CS018,MA201(B), HS210(B+), CS201(F), CS203(C), CS205(F), CS207(F), CS231(O), CS233(A+)
NCE16CS019,MA201(C), HS210(F), CS201(F), CS203(C), CS205(F), CS207(F), CS231(O), CS233(B+)
NCE16CS020,MA201(B), HS210(B+), CS201(B), CS203(B), CS205(B), CS207(C), CS231(O), CS233(A+)
NCE16CS022,MA201(B), HS210(A), CS201(C), CS203(B), CS205(C), CS207(B), CS231(A+), CS233(A+)
NCE16CS023,MA201(O), HS210(A+), CS201(B+), CS203(B), CS205(C), CS207(B), CS231(A), CS233(A+)
NCE16CS024,MA201(A), HS210(O), CS201(A), CS203(B+), CS205(C), CS207(B), CS231(O), CS233(A+)
NCE16CS026,MA201(C), HS210(B+), CS201(C), CS203(C), CS205(F), CS207(F), CS231(A+), CS233(A+)
NCE16CS027,MA201(B), HS210(A), CS201(B+), CS203(B), CS205(C), CS207(B), CS231(O), CS233(A+)
NCE16CS028,MA201(B+), HS210(A), CS201(B+), CS203(B+), CS205(F), CS207(B+), CS231(A+), CS233(A)
NCE16CS029,MA201(B), HS210(A), CS201(B+), CS203(B+), CS205(B), CS207(B), CS231(A+), CS233(A)
NCE16CS030,MA201(F), HS210(A), CS201(F), CS203(F), CS205(C), CS207(F), CS231(O), CS233(A)
NCE16CS031,MA201(B), HS210(A), CS201(B), CS203(B), CS205(A), CS207(F), CS231(O), CS233(A+)
NCE16CS033,MA201(C), HS210(O), CS201(C), CS203(B), CS205(C), CS207(F), CS231(A+), CS233(A+)
NCE16CS034,MA201(C), HS210(B+), CS201(F), CS203(P), CS205(F), CS207(F), CS231(A), CS233(A+)
NCE16CS035,MA201(B+), HS210(B+), CS201(B), CS203(C), CS205(C), CS207(B), CS231(A), CS233(A+)
NCE16CS036,MA201(B+), HS210(F), CS201(A), CS203(B), CS205(B), CS207(B), CS231(O), CS233(A+)
NCE16CS037,MA201(F), HS210(B), CS201(F), CS203(F), CS205(F), CS207(F), CS231(B), CS233(A+)
NCE16CS038,MA201(B+), HS210(F), CS201(C), CS203(B), CS205(F), CS207(B), CS231(O), CS233(A+)
NCE16CS039,MA201(Absent), HS210(B+), CS201(B), CS203(B), CS205(C), CS207(B), CS231(A+), CS233(A+)
NCE16CS040,MA201(B), HS210(B), CS201(F), CS203(C), CS205(B), CS207(F), CS231(A), CS233(B+)
NCE16CS041,MA201(O), HS210(A+), CS201(A+), CS203(B+), CS205(A+), CS207(B+), CS231(O), CS233(A+)
NCE16CS042,MA201(C), HS210(B+), CS201(F), CS203(C), CS205(B), CS207(C), CS231(A+), CS233(B+)
NCE16CS043,MA201(A+), HS210(A+), CS201(A+), CS203(B), CS205(A), CS207(B), CS231(O), CS233(A+)
NCE16CS044,MA201(B+), HS210(B+), CS201(B+), CS203(B), CS205(B), CS207(F), CS231(O), CS233(A+)
NCE16CS045,MA201(A+), HS210(A), CS201(A), CS203(B+), CS205(B+), CS207(B), CS231(O), CS233(A+)
