Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12
MDL16EC001,ME100(B),,,,,,,,,
MDL16EC002,BE100(B), BE10104(C), ME100(B),,,,,,,
MDL16EC009,ME100(B),,,,,,,,,
MDL16EC010,PH100(Absent), CY100(F), ME100(F),,,,,,,
MDL16EC011,MA101(B), BE100(C), ME100(F),,,,,,,
MDL16EC014,BE110(O),,,,,,,,,
MDL16EC015,BE110(B+),,,,,,,,,
MDL16EC021,ME100(B),,,,,,,,,
MDL16EC022,EE100(A+),,,,,,,,,
MDL16EC024,BE100(B+),,,,,,,,,
MDL16EC043,PH100(F), CY100(F), CE100(C), ME100(F), EE100(C), MA102(F),,,,
MDL16EC046,BE100(B+),,,,,,,,,
MDL16EC049,PH100(F), BE10104(C), MA102(Absent),,,,,,,
MDL16EC050,CY100(F), BE10104(B),,,,,,,,
MDL16EC054,EE100(B),,,,,,,,,
MDL16EC055,BE110(B),,,,,,,,,
MDL16EC056,PH100(C),,,,,,,,,
MDL16EC060,BE110(F), EE100(B),,,,,,,,
MDL16EC061,PH100(B), CE100(B),,,,,,,,
MDL16EC062,ME100(B), EE100(B),,,,,,,,
MDL16EC070,EE100(B),,,,,,,,,
MDL16EC075,MA101(F), PH100(F), BE110(F), ME100(B), EE100(F), MA102(F),,,,
MDL16EC077,ME100(C),,,,,,,,,
MDL16EC078,CY100(F), BE10104(F), ME100(F),,,,,,,
MDL16EC080,ME100(B),,,,,,,,,
MDL16EC083,PH100(B), BE10104(B),,,,,,,,
MDL16EC090,PH100(C), BE10104(C), CE100(C), ME100(F),,,,,,
MDL16EC092,ME100(B+),,,,,,,,,
MDL16EC093,MA101(C), PH100(F), CY100(B), BE100(C), BE10104(C), ME100(F), EE100(F), MA102(F),,
MDL16EC097,MA102(A+),,,,,,,,,
MDL16EC098,BE110(F),,,,,,,,,
MDL16EC104,EE100(B),,,,,,,,,
MDL16EC105,BE110(A), MA102(F),,,,,,,,
MDL16EC115,CE100(B),,,,,,,,,
MDL16CS004,PH100(B+), BE100(A+), EE100(B+),,,,,,,
MDL16CS005,PH100(C), BE100(C), EE100(F), EC100(C),,,,,,
MDL16CS008,BE100(B), BE110(F), BE103(B+),,,,,,,
MDL16CS011,EE100(C),,,,,,,,,
MDL16CS014,MA101(F), PH100(F), CY100(F), BE100(F), BE110(F), BE10105(F), EE100(F), EC100(F),MA102(F), CS100(Absent)
MDL16CS016,BE110(C),,,,,,,,,
MDL16CS017,BE100(A+),,,,,,,,,
MDL16CS018,BE110(F),,,,,,,,,
MDL16CS024,BE100(C), BE110(B+), EE100(B),,,,,,,
MDL16CS025,BE100(O),,,,,,,,,
MDL16CS031,BE100(B+),,,,,,,,,
MDL16CS033,PH100(F), CY100(F), BE100(Absent), BE110(F), BE10105(F), EE100(P), EC100(P), MA102(F),,
